epoch,accuracy,loss,precision,recall
0,0.5979687571525574,0.6321201324462891,0.5551063418388367,0.9868749976158142
1,0.8620312213897705,0.47860613465309143,0.8253299593925476,0.9184374809265137
2,0.8896874785423279,0.38077324628829956,0.902258038520813,0.8740624785423279
3,0.891406238079071,0.2934160828590393,0.9168053269386292,0.8609374761581421
4,0.9048437476158142,0.2638830244541168,0.9240589141845703,0.8821874856948853
5,0.9096875190734863,0.24745993316173553,0.927592933177948,0.8887500166893005
6,0.9190624952316284,0.2248033881187439,0.9325806498527527,0.9034374952316284
7,0.9228125214576721,0.21990340948104858,0.9367333650588989,0.9068750143051147
8,0.9264062643051147,0.20276664197444916,0.9380417466163635,0.9131249785423279
9,0.9331250190734863,0.1912374049425125,0.9439461827278137,0.9209374785423279
