epoch,accuracy,loss,precision,recall
0,0.7431250214576721,0.5903506278991699,0.8333333134651184,0.6078125238418579
1,0.8603125214576721,0.42671817541122437,0.8483383655548096,0.8774999976158142
2,0.870312511920929,0.3489473760128021,0.848119854927063,0.9021875262260437
3,0.8804687261581421,0.30843615531921387,0.8569334745407104,0.9134374856948853
4,0.8854687213897705,0.29135486483573914,0.8703092336654663,0.9059374928474426
5,0.8889062404632568,0.2724917232990265,0.875188410282135,0.9071875214576721
6,0.8968750238418579,0.2616890072822571,0.8902888894081116,0.9053124785423279
7,0.905468761920929,0.24468688666820526,0.9038282036781311,0.9075000286102295
8,0.9076562523841858,0.2334679365158081,0.9057542681694031,0.9100000262260437
9,0.9134374856948853,0.22648264467716217,0.9194673299789429,0.90625
