epoch,accuracy,loss,precision,recall
0,0.4989062547683716,0.6930354833602905,0.49941325187683105,0.9309375286102295
1,0.50390625,0.6924236416816711,0.5020269155502319,0.9674999713897705
2,0.514843761920929,0.6907479166984558,0.5079338550567627,0.9503124952316284
3,0.5540624856948853,0.6860842108726501,0.5307500958442688,0.9331250190734863
4,0.6457812786102295,0.6809095740318298,0.5975329279899597,0.8931249976158142
5,0.6814062595367432,0.6732088327407837,0.6281740069389343,0.8890625238418579
6,0.702343761920929,0.6639801859855652,0.6458662152290344,0.8959375023841858
7,0.7132812738418579,0.6538990139961243,0.6608531475067139,0.8762500286102295
8,0.7378125190734863,0.6410043835639954,0.6848882436752319,0.8809375166893005
9,0.749218761920929,0.6251577138900757,0.6980382204055786,0.8784375190734863
