epoch,accuracy,loss,precision,recall
0,0.6760937571525574,0.6413416266441345,0.6626262664794922,0.7174999713897705
1,0.7310937643051147,0.5210357904434204,0.7621411085128784,0.671875
2,0.7378125190734863,0.4536677300930023,0.7286658883094788,0.7578125
3,0.7724999785423279,0.4156786799430847,0.8496391177177429,0.6621875166893005
4,0.8031250238418579,0.4082760512828827,0.8750966787338257,0.7071874737739563
5,0.8467187285423279,0.37864163517951965,0.8840429186820984,0.7981250286102295
6,0.8598437309265137,0.34820088744163513,0.8917999267578125,0.8190624713897705
7,0.8581249713897705,0.33582988381385803,0.8890020251274109,0.8184375166893005
8,0.8646875023841858,0.3217678368091583,0.9010308980941772,0.8193749785423279
9,0.8693749904632568,0.31375283002853394,0.9042407870292664,0.8262500166893005
