epoch,accuracy,loss,precision,recall
0,0.6509374976158142,0.6861910223960876,0.655605673789978,0.635937511920929
1,0.78515625,0.6186728477478027,0.7242565751075745,0.9209374785423279
2,0.8487499952316284,0.5208561420440674,0.8166855573654175,0.8993750214576721
3,0.8726562261581421,0.4727531671524048,0.868852436542511,0.8778125047683716
4,0.8818749785423279,0.445201575756073,0.8835530281066895,0.879687488079071
5,0.8815624713897705,0.4281366765499115,0.8895979523658752,0.8712499737739563
6,0.8849999904632568,0.41211411356925964,0.8981900215148926,0.8684375286102295
7,0.8868749737739563,0.3995935320854187,0.9146014451980591,0.8534374833106995
8,0.8903124928474426,0.3831064701080322,0.9152260422706604,0.8603125214576721
9,0.8949999809265137,0.36687758564949036,0.9235925078392029,0.8612499833106995
