epoch,accuracy,loss,precision,recall
0,0.7556250095367432,0.5903275609016418,0.7626846432685852,0.7421875
1,0.8564062714576721,0.3808552026748657,0.8423896431922913,0.8768749833106995
2,0.8831250071525574,0.3096891939640045,0.877695620059967,0.8903124928474426
3,0.8890625238418579,0.28055959939956665,0.8812002539634705,0.8993750214576721
4,0.8951562643051147,0.266681969165802,0.8952797651290894,0.8949999809265137
5,0.9029687643051147,0.24976859986782074,0.9046124815940857,0.9009374976158142
6,0.9089062213897705,0.23413805663585663,0.9168524742126465,0.8993750214576721
7,0.9090625047683716,0.22741568088531494,0.91847825050354,0.8978124856948853
8,0.9160937666893005,0.21835245192050934,0.9214941263198853,0.9096875190734863
9,0.9217187762260437,0.21095804870128632,0.9296402335166931,0.9125000238418579
