epoch,accuracy,loss,precision,recall
0,0.6389062404632568,0.6183272004127502,0.8453768491744995,0.3400000035762787
1,0.8731250166893005,0.4597064256668091,0.8922470211982727,0.8487499952316284
2,0.8921874761581421,0.3528178036212921,0.8828554153442383,0.9043750166893005
3,0.9028124809265137,0.2782086133956909,0.8941895961761475,0.9137499928474426
4,0.9104687571525574,0.2483234852552414,0.9111111164093018,0.9096875190734863
5,0.9182812571525574,0.23120880126953125,0.9194610118865967,0.9168750047683716
6,0.9256250262260437,0.21899835765361786,0.9283018708229065,0.9225000143051147
7,0.9296875,0.20852723717689514,0.9315756559371948,0.9275000095367432
8,0.9359375238418579,0.18930068612098694,0.9381281137466431,0.9334375262260437
9,0.9351562261581421,0.17996597290039062,0.9358372688293457,0.934374988079071
