epoch,accuracy,loss,precision,recall
0,0.6787499785423279,0.6044170260429382,0.8441636562347412,0.43843749165534973
1,0.8707812428474426,0.4521172046661377,0.8784688711166382,0.8606250286102295
2,0.8837500214576721,0.32624363899230957,0.8620283007621765,0.9137499928474426
3,0.8967187404632568,0.27608662843704224,0.8808881044387817,0.9175000190734863
4,0.9009374976158142,0.25363558530807495,0.8864457607269287,0.9196875095367432
5,0.9098437428474426,0.23895107209682465,0.8999695181846619,0.9221875071525574
6,0.9096875190734863,0.2216031849384308,0.8987226486206055,0.9234374761581421
7,0.9181249737739563,0.20810842514038086,0.9134734272956848,0.9237499833106995
8,0.9189062714576721,0.20169006288051605,0.917471170425415,0.9206249713897705
9,0.9293749928474426,0.18795782327651978,0.9320755004882812,0.9262499809265137
