epoch,accuracy,loss,precision,recall
0,0.4918749928474426,0.6978504061698914,0.4948979616165161,0.7881249785423279
1,0.54296875,0.6924383044242859,0.5288199782371521,0.7884374856948853
2,0.6104687452316284,0.685716450214386,0.5710267424583435,0.8881250023841858
3,0.6382812261581421,0.6761226058006287,0.5877801775932312,0.9259374737739563
4,0.6668750047683716,0.6626468896865845,0.6092024445533752,0.9309375286102295
5,0.698437511920929,0.6458635926246643,0.6352214813232422,0.9321874976158142
6,0.7251562476158142,0.6258071660995483,0.660431981086731,0.9268749952316284
7,0.7709375023841858,0.5996394157409668,0.7077144384384155,0.9231250286102295
8,0.7959374785423279,0.5725817680358887,0.7418283820152283,0.9078124761581421
9,0.8115624785423279,0.5407137274742126,0.7633386254310608,0.903124988079071
