epoch,accuracy,loss,precision,recall
0,0.7581250071525574,0.5593894124031067,0.8514893651008606,0.6253125071525574
1,0.8751562237739563,0.3636159598827362,0.859108567237854,0.8974999785423279
2,0.8829687237739563,0.2973645329475403,0.868571400642395,0.9024999737739563
3,0.8968750238418579,0.2631951570510864,0.8874313831329346,0.9090625047683716
4,0.9017187356948853,0.2498229742050171,0.8963922262191772,0.9084374904632568
5,0.9059374928474426,0.23335666954517365,0.9049251675605774,0.9071875214576721
6,0.9131249785423279,0.22077423334121704,0.9172979593276978,0.9081249833106995
7,0.9228125214576721,0.20959928631782532,0.930343508720398,0.9140625
8,0.9240624904632568,0.19979722797870636,0.9283459782600403,0.9190624952316284
9,0.9287499785423279,0.19411303102970123,0.9341772198677063,0.9225000143051147
