epoch,accuracy,loss,precision,recall
0,0.5431249737739563,0.6850454807281494,0.6650717854499817,0.17374999821186066
1,0.7198437452316284,0.6125311255455017,0.8420029282569885,0.5412499904632568
2,0.8043749928474426,0.5320482850074768,0.8170573115348816,0.784375011920929
3,0.8364062309265137,0.49075019359588623,0.8204823136329651,0.8612499833106995
4,0.8464062213897705,0.4598885774612427,0.8212112188339233,0.8856250047683716
5,0.85546875,0.4458957016468048,0.8254649639129639,0.901562511920929
6,0.8620312213897705,0.42792147397994995,0.8290258646011353,0.9121875166893005
7,0.8635937571525574,0.41342273354530334,0.8306336998939514,0.9134374856948853
8,0.8604687452316284,0.40674927830696106,0.8231997489929199,0.9181249737739563
9,0.8656250238418579,0.39708423614501953,0.826815664768219,0.925000011920929
